date,archived_date,url
20160101,20151230,http://web.archive.org/web/20151230152834/https://www.pillpack.com/
20160201,20160130,http://web.archive.org/web/20160130000639/https://www.pillpack.com/
20160301,20160301,http://web.archive.org/web/20160301033409/https://www.pillpack.com/
20160401,20160320,http://web.archive.org/web/20160320185003/https://www.pillpack.com/
20160501,20160513,http://web.archive.org/web/20160513020746/https://www.pillpack.com/
20160601,20160603,http://web.archive.org/web/20160603013900/https://www.pillpack.com/
20160701,20160618,http://web.archive.org/web/20160618012248/https://www.pillpack.com/
20160801,20160618,http://web.archive.org/web/20160618012248/https://www.pillpack.com/
20160901,20161030,http://web.archive.org/web/20161030150241/https://www.pillpack.com/
20161001,20161030,http://web.archive.org/web/20161030150241/https://www.pillpack.com/
20161101,20161030,http://web.archive.org/web/20161030150241/https://www.pillpack.com/
20161201,20161203,http://web.archive.org/web/20161203125305/https://www.pillpack.com/
